Game Title;User Rating;Age Group Targeted;Price;Platform;Requires Special Device;Developer;Publisher;Release Year;Genre;Multiplayer;Game Length (Hours);Graphics Quality;Soundtrack Quality;Story Quality;User Review Text;Game Mode;Min Number of Players
Kingdom Hearts III;33.0;Kids;41.28;PlayStation;Yes;EA Sports;Innersloth;2019;Strategy;Yes;41.0;Medium;Excellent;Poor;Great game, but the graphics could be better.;Offline;8
Tomb Raider (2013);37.7;Kids;43.12;PlayStation;No;Bungie;Activision;2010;RPG;Yes;57.3;Ultra;Average;Average;Amazing game, but too many bugs.;Online;3
The Elder Scrolls V: Skyrim;35.5;Teens;49.59;PlayStation;No;Bungie;Nintendo;2019;Shooter;No;29.3;Low;Average;Poor;Solid game, but the graphics could be better.;Offline;8
Spelunky 2;24.8;Kids;24.31;PlayStation;Yes;Innersloth;Nintendo;2016;RPG;No;42.9;High;Poor;Average;Disappointing game, but the graphics could be better.;Online;3
Animal Crossing: New Horizons;27.5;Teens;36.9;PlayStation;No;Nintendo;Innersloth;2015;RPG;Yes;28.3;Medium;Excellent;Excellent;Disappointing game, but too many bugs.;Online;2
Super Mario Odyssey;18.4;Teens;25.06;PlayStation;No;Rockstar Games;Activision;2023;Simulation;No;22.9;Ultra;Excellent;Good;Amazing game, but too many bugs.;Online;1
Sid Meier’s Civilization VI;36.9;Adults;55.36;PlayStation;Yes;Bungie;Take-Two Interactive;2011;Shooter;Yes;28.5;Low;Poor;Average;Disappointing game, but the graphics could be better.;Online;3
Minecraft;41.9;Kids;51.29;PlayStation;Yes;EA Sports;Electronic Arts;2014;Fighting;Yes;58.8;Ultra;Excellent;Poor;Amazing game, but the graphics could be better.;Offline;6
Spelunky 2;31.6;Kids;39.27;PlayStation;No;CD Projekt Red;Activision;2011;Strategy;Yes;42.5;Medium;Poor;Excellent;Amazing game, but the gameplay is amazing.;Offline;10
Halo Infinite;29.5;All Ages;48.15;PlayStation;Yes;Game Freak;Valve;2013;Strategy;No;16.7;Ultra;Poor;Average;Amazing game, but the graphics could be better.;Online;1
Half-Life: Alyx;39.7;Adults;54.07;PlayStation;No;Nintendo;Take-Two Interactive;2021;RPG;Yes;36.4;Low;Excellent;Excellent;Great game, but too many bugs.;Online;10
1000-Piece Puzzle;20.2;All Ages;38.76;PlayStation;No;Innersloth;Epic Games;2021;RPG;Yes;8.1;Medium;Average;Poor;Amazing game, but too many bugs.;Online;8
1000-Piece Puzzle;28.2;Teens;43.2;PlayStation;No;Bungie;Electronic Arts;2017;Adventure;No;17.3;High;Average;Average;Great game, but the graphics could be better.;Online;10
Minecraft;33.8;Adults;33.95;PlayStation;Yes;Bungie;Innersloth;2020;Action;No;59.6;Medium;Poor;Excellent;Disappointing game, but too many bugs.;Online;7
Rocket League;21.9;Teens;32.46;PlayStation;No;Epic Games;Epic Games;2018;Sports;No;22.1;High;Average;Poor;Solid game, but the gameplay is amazing.;Offline;4
Super Mario Odyssey;32.6;Kids;32.68;PlayStation;Yes;Bungie;Nintendo;2022;Shooter;Yes;56.1;Medium;Good;Poor;Great game, but the graphics could be better.;Offline;2
Spelunky 2;28.3;Kids;44.26;PlayStation;Yes;Bungie;Nintendo;2011;Party;Yes;26.5;Medium;Excellent;Good;Great game, but the graphics could be better.;Online;1
Overwatch 2;40.1;All Ages;57.82;PlayStation;No;Bungie;Innersloth;2020;Shooter;No;30.7;Ultra;Good;Excellent;Amazing game, but the graphics could be better.;Offline;10
Portal 2;25.4;Teens;24.46;PlayStation;Yes;EA Sports;Capcom;2018;Simulation;Yes;49.3;High;Excellent;Poor;Amazing game, but the gameplay is amazing.;Offline;8
Halo Infinite;15.0;Teens;21.86;PlayStation;No;Nintendo;Electronic Arts;2019;Strategy;Yes;19.5;High;Good;Good;Disappointing game, but the graphics could be better.;Offline;2
Kingdom Hearts III;39.7;Teens;43.23;PlayStation;Yes;Bungie;Activision;2016;Puzzle;Yes;55.6;Low;Good;Excellent;Disappointing game, but the gameplay is amazing.;Online;5
Spelunky 2;28.1;Teens;47.76;PlayStation;Yes;CD Projekt Red;Nintendo;2012;Strategy;Yes;17.7;High;Excellent;Excellent;Great game, but too many bugs.;Offline;2
Overwatch 2;27.5;Teens;45.45;PlayStation;No;Nintendo;Nintendo;2016;Simulation;No;20.7;Low;Average;Poor;Disappointing game, but too many bugs.;Offline;5
Sid Meier’s Civilization VI;32.7;All Ages;36.1;PlayStation;No;Innersloth;Valve;2012;Simulation;No;49.7;Low;Excellent;Good;Solid game, but the graphics could be better.;Offline;7
Counter-Strike: Global Offensive;29.3;Kids;32.13;PlayStation;No;Rockstar Games;Electronic Arts;2016;Simulation;No;39.6;Low;Good;Good;Solid game, but the gameplay is amazing.;Online;7
Tetris;21.6;All Ages;20.14;PlayStation;No;Capcom;Electronic Arts;2011;Action;No;31.9;Ultra;Good;Average;Solid game, but the graphics could be better.;Online;10
Counter-Strike: Global Offensive;38.9;Kids;54.83;PlayStation;Yes;EA Sports;Capcom;2011;RPG;No;43.1;Medium;Poor;Excellent;Great game, but the graphics could be better.;Offline;3
Fortnite;24.1;Kids;37.05;PlayStation;Yes;Innersloth;Square Enix;2018;Fighting;No;21.3;Ultra;Good;Excellent;Disappointing game, but the graphics could be better.;Offline;7
Portal 2;41.1;Adults;55.37;PlayStation;No;Rockstar Games;Activision;2022;Party;Yes;40.7;High;Good;Poor;Disappointing game, but the gameplay is amazing.;Online;8
Stardew Valley;29.8;Adults;45.23;PlayStation;No;Bungie;Activision;2022;Fighting;Yes;27.6;Ultra;Good;Poor;Disappointing game, but too many bugs.;Offline;2
Portal 2;36.5;Teens;51.69;PlayStation;Yes;Valve;Epic Games;2013;Puzzle;No;41.5;Medium;Poor;Average;Solid game, but the graphics could be better.;Offline;4
Minecraft;32.3;Teens;47.78;PlayStation;No;Capcom;Electronic Arts;2018;Sports;Yes;21.6;Low;Excellent;Good;Great game, but the gameplay is amazing.;Offline;3
Among Us;40.8;Kids;50.34;PlayStation;No;Valve;Nintendo;2019;Puzzle;Yes;49.9;High;Good;Excellent;Disappointing game, but the graphics could be better.;Online;4
The Witcher 3: Wild Hunt;17.5;Teens;33.1;PlayStation;Yes;Nintendo;Valve;2020;Strategy;No;5.6;Ultra;Good;Good;Great game, but the gameplay is amazing.;Offline;1
Street Fighter V;31.8;Adults;50.22;PlayStation;No;EA Sports;Valve;2011;Shooter;No;23.2;Low;Poor;Poor;Amazing game, but the graphics could be better.;Offline;2
Minecraft;38.8;Teens;50.41;PlayStation;Yes;Innersloth;Take-Two Interactive;2014;Adventure;Yes;42.5;Medium;Poor;Poor;Disappointing game, but the graphics could be better.;Offline;2
The Elder Scrolls V: Skyrim;40.5;Kids;57.47;PlayStation;Yes;Game Freak;Valve;2019;Adventure;Yes;37.7;Ultra;Good;Good;Great game, but the gameplay is amazing.;Online;8
Hades;23.8;Kids;20.31;PlayStation;Yes;Bungie;Electronic Arts;2021;Party;No;43.3;Low;Good;Excellent;Disappointing game, but too many bugs.;Online;2
The Legend of Zelda: Breath of the Wild;26.5;All Ages;24.8;PlayStation;Yes;EA Sports;Activision;2018;Party;No;45.9;High;Excellent;Good;Solid game, but the graphics could be better.;Online;7
Call of Duty: Modern Warfare 2;21.4;Teens;28.54;PlayStation;Yes;Bungie;Activision;2013;Action;No;27.4;Medium;Good;Excellent;Solid game, but too many bugs.;Online;5
Tekken 7;41.2;All Ages;50.29;PlayStation;Yes;Game Freak;Innersloth;2010;Puzzle;Yes;47.6;Ultra;Excellent;Poor;Amazing game, but too many bugs.;Online;10
League of Legends;30.2;Adults;30.48;PlayStation;No;CD Projekt Red;Nintendo;2011;Adventure;Yes;44.5;Low;Excellent;Excellent;Amazing game, but too many bugs.;Offline;1
Animal Crossing: New Horizons;44.3;Adults;58.65;PlayStation;Yes;Capcom;Activision;2015;RPG;No;52.1;Ultra;Poor;Good;Amazing game, but the graphics could be better.;Online;1
Hitman 3;34.3;Kids;33.41;PlayStation;No;EA Sports;Capcom;2014;Shooter;No;53.4;Medium;Poor;Good;Great game, but the gameplay is amazing.;Online;6
The Legend of Zelda: Breath of the Wild;23.0;Teens;25.0;PlayStation;No;Rockstar Games;Epic Games;2013;Shooter;Yes;28.6;Low;Excellent;Excellent;Disappointing game, but too many bugs.;Online;5
Fortnite;15.8;Teens;25.28;PlayStation;Yes;EA Sports;Activision;2014;RPG;Yes;15.3;Ultra;Average;Good;Great game, but too many bugs.;Offline;10
Fortnite;25.5;Kids;25.68;PlayStation;No;Innersloth;Take-Two Interactive;2023;Fighting;Yes;44.9;Medium;Good;Excellent;Great game, but the graphics could be better.;Offline;4
Ghost of Tsushima;21.3;Kids;24.31;PlayStation;Yes;Valve;Nintendo;2010;Party;No;24.6;Ultra;Excellent;Average;Solid game, but the graphics could be better.;Online;1
Counter-Strike: Global Offensive;30.2;Kids;34.21;PlayStation;Yes;Nintendo;Valve;2020;Fighting;No;48.8;Low;Poor;Good;Amazing game, but too many bugs.;Online;8
The Elder Scrolls V: Skyrim;39.1;Teens;51.6;PlayStation;Yes;Innersloth;Innersloth;2018;Party;Yes;43.9;Low;Average;Poor;Amazing game, but the graphics could be better.;Offline;3
1000-Piece Puzzle;26.4;Adults;29.82;PlayStation;No;Game Freak;Capcom;2019;Fighting;No;39.2;Ultra;Poor;Good;Great game, but too many bugs.;Online;10
Ghost of Tsushima;23.0;Teens;22.21;PlayStation;Yes;Game Freak;Epic Games;2013;Sports;Yes;36.0;Ultra;Poor;Excellent;Disappointing game, but too many bugs.;Online;3
Halo Infinite;24.3;All Ages;48.91;PlayStation;Yes;Rockstar Games;Nintendo;2015;RPG;Yes;6.1;Medium;Poor;Excellent;Great game, but the graphics could be better.;Offline;7
1000-Piece Puzzle;30.9;Kids;40.18;PlayStation;No;Rockstar Games;Valve;2018;Party;Yes;33.4;High;Poor;Poor;Disappointing game, but the graphics could be better.;Offline;3
Halo Infinite;28.9;Kids;44.39;PlayStation;Yes;Valve;Take-Two Interactive;2015;Fighting;No;18.5;Medium;Good;Average;Solid game, but the graphics could be better.;Online;6
1000-Piece Puzzle;32.7;Teens;44.25;PlayStation;Yes;Innersloth;Capcom;2020;RPG;Yes;33.0;Medium;Average;Average;Disappointing game, but the gameplay is amazing.;Online;7
Hitman 3;32.5;Adults;56.0;PlayStation;No;EA Sports;Square Enix;2010;Fighting;Yes;19.5;Ultra;Average;Excellent;Great game, but the gameplay is amazing.;Offline;1
Fall Guys;24.8;Adults;37.75;PlayStation;Yes;Game Freak;Nintendo;2019;Fighting;No;19.2;Ultra;Excellent;Good;Disappointing game, but too many bugs.;Online;7
Grand Theft Auto V;20.6;All Ages;39.06;PlayStation;No;Capcom;Nintendo;2011;Party;Yes;6.9;High;Poor;Excellent;Disappointing game, but the graphics could be better.;Offline;4
Fortnite;30.3;Adults;41.95;PlayStation;No;Epic Games;Valve;2011;Puzzle;Yes;31.9;High;Poor;Good;Amazing game, but the graphics could be better.;Offline;8
Call of Duty: Modern Warfare 2;30.9;All Ages;28.76;PlayStation;No;Innersloth;Capcom;2020;Adventure;No;53.0;Medium;Average;Poor;Solid game, but the gameplay is amazing.;Online;2
Grand Theft Auto V;28.3;Kids;38.13;PlayStation;Yes;Game Freak;Electronic Arts;2017;Puzzle;No;32.7;Medium;Average;Excellent;Great game, but the gameplay is amazing.;Offline;1
Cuphead;36.5;Teens;36.87;PlayStation;No;Rockstar Games;Innersloth;2013;Puzzle;No;58.9;High;Average;Good;Amazing game, but the graphics could be better.;Offline;7
FIFA 24;34.7;Kids;33.33;PlayStation;No;Valve;Take-Two Interactive;2014;Sports;No;57.6;High;Poor;Poor;Great game, but the graphics could be better.;Offline;2
The Legend of Zelda: Breath of the Wild;42.4;All Ages;50.69;PlayStation;Yes;Bungie;Electronic Arts;2018;Party;Yes;54.9;Ultra;Poor;Excellent;Disappointing game, but the gameplay is amazing.;Online;7
Among Us;20.6;All Ages;24.7;PlayStation;Yes;Bungie;Square Enix;2021;RPG;No;29.7;Low;Good;Excellent;Great game, but the gameplay is amazing.;Online;7
Fall Guys;32.8;Kids;47.81;PlayStation;No;Bungie;Innersloth;2013;Adventure;No;29.9;Low;Excellent;Good;Great game, but the graphics could be better.;Online;3
Super Mario Odyssey;31.7;Teens;35.33;PlayStation;No;Game Freak;Epic Games;2010;Adventure;Yes;40.8;High;Excellent;Average;Great game, but the graphics could be better.;Offline;8
Ghost of Tsushima;32.5;Kids;46.19;PlayStation;Yes;Epic Games;Valve;2020;Simulation;Yes;25.6;High;Average;Average;Amazing game, but too many bugs.;Online;3
League of Legends;26.8;All Ages;39.72;PlayStation;No;Nintendo;Activision;2017;Puzzle;Yes;16.7;Medium;Average;Good;Great game, but too many bugs.;Offline;2
Pokémon Scarlet & Violet;22.3;Teens;39.13;PlayStation;No;Epic Games;Square Enix;2019;Shooter;Yes;10.2;High;Poor;Excellent;Solid game, but the graphics could be better.;Online;7
Among Us;32.3;Kids;50.31;PlayStation;No;Capcom;Square Enix;2012;Simulation;No;22.1;Ultra;Good;Good;Disappointing game, but the graphics could be better.;Offline;10
Overwatch 2;36.8;Teens;41.13;PlayStation;No;Valve;Activision;2023;Puzzle;No;57.6;High;Excellent;Average;Amazing game, but the graphics could be better.;Online;1
Portal 2;23.8;Teens;31.28;PlayStation;No;Capcom;Epic Games;2020;Fighting;No;23.0;Ultra;Poor;Average;Disappointing game, but the gameplay is amazing.;Offline;3
Sid Meier’s Civilization VI;28.5;Teens;40.89;PlayStation;Yes;Game Freak;Epic Games;2017;Adventure;No;24.3;Low;Average;Excellent;Amazing game, but the graphics could be better.;Online;6
The Witcher 3: Wild Hunt;14.7;Teens;21.42;PlayStation;No;Bungie;Take-Two Interactive;2023;Strategy;No;12.3;Ultra;Average;Excellent;Amazing game, but too many bugs.;Offline;3
Counter-Strike: Global Offensive;35.3;Kids;59.84;PlayStation;No;Valve;Valve;2010;Strategy;No;15.6;High;Average;Average;Great game, but too many bugs.;Online;2
Cuphead;20.9;Kids;27.48;PlayStation;No;Bungie;Valve;2016;Strategy;No;24.9;High;Excellent;Good;Solid game, but too many bugs.;Offline;6
Half-Life: Alyx;33.7;Kids;45.8;PlayStation;Yes;Bungie;Electronic Arts;2020;Sports;Yes;36.2;High;Average;Poor;Great game, but the graphics could be better.;Offline;3
Grand Theft Auto V;31.7;Teens;49.51;PlayStation;Yes;Epic Games;Activision;2020;Fighting;No;29.2;Low;Poor;Good;Amazing game, but too many bugs.;Online;7
Counter-Strike: Global Offensive;34.2;Adults;41.43;PlayStation;No;Bungie;Activision;2010;RPG;No;43.4;Low;Good;Average;Amazing game, but too many bugs.;Online;4
Super Mario Odyssey;21.8;Teens;23.2;PlayStation;Yes;Rockstar Games;Epic Games;2015;Party;No;37.0;Medium;Good;Good;Amazing game, but the gameplay is amazing.;Offline;6
Among Us;22.6;All Ages;23.75;PlayStation;No;Nintendo;Take-Two Interactive;2018;Shooter;Yes;40.3;Medium;Excellent;Excellent;Disappointing game, but too many bugs.;Online;2
Minecraft;16.1;Teens;27.68;PlayStation;No;CD Projekt Red;Take-Two Interactive;2014;Shooter;Yes;10.4;High;Poor;Excellent;Great game, but the gameplay is amazing.;Online;3
Mario Kart 8 Deluxe;44.7;Adults;59.41;PlayStation;No;Game Freak;Activision;2018;Party;Yes;43.8;Ultra;Good;Poor;Disappointing game, but too many bugs.;Online;3
Super Smash Bros. Ultimate;19.4;Kids;25.84;PlayStation;Yes;Nintendo;Electronic Arts;2012;Fighting;No;15.2;Medium;Good;Average;Solid game, but the graphics could be better.;Offline;2
Minecraft;44.0;All Ages;57.08;PlayStation;No;Bungie;Take-Two Interactive;2016;Puzzle;No;55.2;High;Average;Excellent;Disappointing game, but the gameplay is amazing.;Offline;4
Spelunky 2;27.7;Kids;23.59;PlayStation;Yes;Game Freak;Electronic Arts;2018;Party;No;46.4;Ultra;Average;Excellent;Amazing game, but too many bugs.;Online;5
FIFA 24;16.5;Teens;27.92;PlayStation;No;Capcom;Square Enix;2015;Strategy;Yes;14.3;Medium;Good;Excellent;Great game, but the graphics could be better.;Offline;5
Super Mario Odyssey;30.9;All Ages;52.13;PlayStation;No;Bungie;Electronic Arts;2013;Sports;Yes;22.7;Ultra;Good;Poor;Solid game, but too many bugs.;Online;7
FIFA 24;30.7;All Ages;26.82;PlayStation;No;Game Freak;Nintendo;2022;Action;Yes;52.9;High;Good;Poor;Solid game, but too many bugs.;Online;3
Portal 2;30.9;Kids;51.52;PlayStation;Yes;EA Sports;Innersloth;2023;Action;Yes;12.2;Ultra;Poor;Poor;Amazing game, but the graphics could be better.;Offline;10
Ghost of Tsushima;24.2;All Ages;24.32;PlayStation;No;Valve;Take-Two Interactive;2019;Puzzle;No;42.4;Medium;Poor;Poor;Great game, but the gameplay is amazing.;Online;3
Fortnite;30.0;All Ages;40.24;PlayStation;No;Capcom;Take-Two Interactive;2014;Strategy;No;35.3;High;Average;Good;Great game, but the gameplay is amazing.;Online;5
Fortnite;42.0;Teens;52.84;PlayStation;Yes;Valve;Innersloth;2021;Simulation;Yes;52.0;Ultra;Average;Good;Great game, but too many bugs.;Offline;2
Call of Duty: Modern Warfare 2;38.1;Adults;43.08;PlayStation;Yes;Epic Games;Capcom;2022;Shooter;Yes;59.1;Ultra;Excellent;Poor;Amazing game, but the graphics could be better.;Offline;8
The Legend of Zelda: Breath of the Wild;36.1;All Ages;48.34;PlayStation;Yes;Innersloth;Activision;2016;Party;No;37.1;High;Poor;Good;Great game, but too many bugs.;Online;5
FIFA 24;18.7;Teens;31.44;PlayStation;No;EA Sports;Activision;2012;Action;No;8.1;Medium;Average;Poor;Disappointing game, but the graphics could be better.;Online;7
Among Us;21.9;Kids;32.99;PlayStation;Yes;Rockstar Games;Valve;2022;RPG;Yes;23.0;High;Excellent;Average;Disappointing game, but the gameplay is amazing.;Offline;4
The Sims 4;37.9;Teens;45.1;PlayStation;No;Valve;Capcom;2018;Adventure;Yes;55.2;Medium;Excellent;Poor;Great game, but too many bugs.;Offline;10
Spelunky 2;22.0;Kids;32.53;PlayStation;Yes;Innersloth;Square Enix;2014;Adventure;Yes;21.1;High;Average;Excellent;Disappointing game, but the graphics could be better.;Online;7
1000-Piece Puzzle;33.6;Adults;51.61;PlayStation;No;Valve;Square Enix;2022;Party;Yes;27.2;High;Good;Excellent;Great game, but the gameplay is amazing.;Offline;8
Bioshock Infinite;36.9;All Ages;51.27;PlayStation;No;Nintendo;Electronic Arts;2018;Sports;No;39.0;Low;Good;Average;Disappointing game, but the gameplay is amazing.;Offline;5
Counter-Strike: Global Offensive;37.1;All Ages;43.13;PlayStation;No;Bungie;Capcom;2019;Simulation;No;49.3;Medium;Excellent;Poor;Amazing game, but too many bugs.;Offline;3
Hitman 3;37.4;Adults;43.51;PlayStation;No;Rockstar Games;Epic Games;2020;Puzzle;No;55.9;High;Good;Excellent;Amazing game, but the gameplay is amazing.;Offline;2
Among Us;27.5;All Ages;22.21;PlayStation;Yes;Nintendo;Innersloth;2013;Simulation;No;58.8;High;Average;Poor;Amazing game, but the graphics could be better.;Online;7
1000-Piece Puzzle;40.4;Adults;49.55;PlayStation;Yes;Rockstar Games;Capcom;2020;Action;No;53.2;Low;Excellent;Poor;Disappointing game, but the gameplay is amazing.;Offline;3
Animal Crossing: New Horizons;25.8;Kids;46.69;PlayStation;Yes;Epic Games;Innersloth;2013;Puzzle;Yes;7.7;Low;Average;Poor;Disappointing game, but the graphics could be better.;Online;5
Hitman 3;35.6;Kids;38.22;PlayStation;No;CD Projekt Red;Innersloth;2017;Shooter;Yes;58.4;Medium;Excellent;Excellent;Amazing game, but the gameplay is amazing.;Online;1
Cuphead;28.0;Adults;40.02;PlayStation;No;Valve;Innersloth;2020;Fighting;No;22.6;Low;Good;Poor;Great game, but the graphics could be better.;Online;4
Animal Crossing: New Horizons;40.6;All Ages;57.0;PlayStation;No;Capcom;Nintendo;2016;RPG;No;36.0;Ultra;Average;Poor;Disappointing game, but the gameplay is amazing.;Offline;8
Spelunky 2;26.0;Teens;27.93;PlayStation;Yes;CD Projekt Red;Capcom;2011;Sports;Yes;43.0;Low;Good;Excellent;Amazing game, but the graphics could be better.;Online;8
Street Fighter V;26.3;Teens;37.34;PlayStation;No;Valve;Electronic Arts;2016;Puzzle;No;30.2;Medium;Poor;Good;Disappointing game, but the graphics could be better.;Online;1
Mario Kart 8 Deluxe;37.5;Teens;52.71;PlayStation;Yes;CD Projekt Red;Valve;2014;Adventure;Yes;37.2;High;Average;Good;Amazing game, but too many bugs.;Online;8
Sid Meier’s Civilization VI;29.7;All Ages;36.26;PlayStation;No;Rockstar Games;Innersloth;2020;Puzzle;Yes;36.2;Ultra;Poor;Excellent;Solid game, but too many bugs.;Offline;5
Stardew Valley;30.0;All Ages;47.75;PlayStation;Yes;CD Projekt Red;Nintendo;2010;Strategy;No;21.1;Medium;Excellent;Excellent;Solid game, but the graphics could be better.;Offline;10
The Elder Scrolls V: Skyrim;34.2;Adults;39.13;PlayStation;Yes;Epic Games;Square Enix;2023;Action;Yes;46.4;Ultra;Average;Average;Great game, but the gameplay is amazing.;Online;5
Cuphead;21.4;Adults;22.3;PlayStation;No;Nintendo;Innersloth;2017;Party;No;33.4;Low;Excellent;Average;Great game, but the graphics could be better.;Offline;10
FIFA 24;35.5;Adults;53.5;PlayStation;Yes;Capcom;Square Enix;2020;Puzzle;No;35.4;Medium;Poor;Good;Great game, but the gameplay is amazing.;Online;7
Overwatch 2;27.4;Teens;31.12;PlayStation;No;Game Freak;Epic Games;2012;RPG;Yes;43.6;Ultra;Excellent;Average;Disappointing game, but the graphics could be better.;Online;4
Counter-Strike: Global Offensive;44.5;Kids;57.66;PlayStation;Yes;Nintendo;Electronic Arts;2018;Fighting;No;47.1;Medium;Good;Poor;Amazing game, but too many bugs.;Offline;1
Call of Duty: Modern Warfare 2;38.5;All Ages;50.92;PlayStation;Yes;CD Projekt Red;Activision;2019;Puzzle;Yes;47.4;Ultra;Excellent;Average;Amazing game, but too many bugs.;Online;10
Stardew Valley;33.6;Adults;47.26;PlayStation;No;Epic Games;Nintendo;2017;Action;Yes;34.4;Medium;Poor;Excellent;Great game, but the gameplay is amazing.;Offline;3
Rocket League;37.9;All Ages;54.63;PlayStation;No;Capcom;Activision;2014;Adventure;Yes;40.5;High;Poor;Average;Amazing game, but too many bugs.;Offline;3
FIFA 24;32.2;All Ages;58.42;PlayStation;No;Nintendo;Epic Games;2023;Puzzle;Yes;12.8;Low;Good;Excellent;Disappointing game, but the gameplay is amazing.;Offline;8
